artist_id,artist_genres,artist_popularity,year
4wQ3PyMz3WwJGI5uEqHUVR,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",60,1994
2h9yQhKyqOMex3QFMVeq7F,"alternative rock, cowpunk, grunge",42,1994
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66,1994
1ThoqLcyIYvZn7iWbj8fsj,"classic soul, funk, quiet storm, soul",70,1994
5ixB75BQR3ADoWQkcHQJTs,"classic oklahoma country, cowboy western, traditional country, western swing, yodeling",54,1994
4mOt6H7OnuqLnQrm1Bboc6,"country, country road",42,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
1NiC1V6xc8OR1ERiIoCvtx,"chilean rock, mexican rock-and-roll, nueva ola chilena, pop romantico, ranchera",58,1994
2DaxqgrOhkeH0fpeiQq2f4,"beatlesque, britpop, madchester, permanent wave, rock",74,1994
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78,1994
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66,1994
36eTeLNx8ErucrEyRm6JOo,"contemporary country, country, country road",54,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
7y9COUDxusQXRjW95vOubE,"classic country pop, country, country road",41,1994
6AcOTCYBMvjKYy4zms0kaC,"banda, banda sinaloense, musica mexicana, norteno",68,1994
3L3YHYkS8b2vgAbnqBTXrE,salsa,53,1994
3y24n3XhZ96wgwRXjvS17T,"g funk, gangster rap, hip hop, west coast rap",66,1994
14pVkFUHDL207LzLHtSA18,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal",66,1994
7Ey4PD4MYsKc5I2dolUwbH,"album rock, classic rock, hard rock, rock",73,1994
09xj0S68Y1OU1vHMCZAIvz,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",66,1994
2QwJQuBekTA4qF7N7uLHDP,"alternative pop, alternative rock, grunge, lilith, riot grrrl",43,1994
1ThoqLcyIYvZn7iWbj8fsj,"classic soul, funk, quiet storm, soul",70,1994
6O74knDqdv3XaWtkII7Xjp,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",63,1994
3yt4IVDHz0luREG9Uf9xrp,surf music,44,1994
7oWSqrgMuIEyH9qp5nu2e5,"canadian children's music, children's folk, children's music",62,1994
6RMWFexOHVj5ctezneQH5v,"salsa, salsa puertorriquena",51,1994
4akj4uteQQrrGxhX9Rjuyf,"gangster rap, hardcore hip hop, hip hop",45,1994
4S2yOnmsWW97dT87yVoaSZ,"punk, skate punk, socal pop punk",58,1994
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71,1994
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70,1994
296LotOmbj7eOX7r9l46fK,"boy band, contemporary r&b, new jack swing, r&b",51,1994
5SHQUMAmEK5KmuSb0aDvsn,"alternative rock, grunge, riot grrrl",57,1994
3HgZDevp7GspkLUAa5cKne,"latin alternative, latin rock, mexican rock, rock en espanol, rock urbano mexicano",60,1994
3ICyfoySNDZqtBVmaBT84I,"classic soul, funk, motown, p funk, soul",54,1994
3YbOSxo85kla7RID8ugnW3,"grupera, musica mexicana, ranchera",74,1994
3mQBpAOMWYqAZyxtyeo4Lo,"disco, mellow gold, new wave pop, soft rock, soul",62,1994
2BQVRw9md4UKcGUrDXABCD,"arkansas country, contemporary country, country, country road",54,1994
0X380XXQSNBYuleKzav5UO,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",63,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70,1994
3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73,1994
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74,1994
6AcOTCYBMvjKYy4zms0kaC,"banda, banda sinaloense, musica mexicana, norteno",68,1994
3IhWQSrLj8EJjdvjFTpCyo,"classic oklahoma country, country, country road",58,1994
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64,1994
